Meeldib/ei meeldi teistes serverites

| Server         | Meeldib                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Ei meeldi                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| -------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Mikroskeem     | Ühtne stiil; ilus alguspunkt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Sisselogides spämm vestlusaknas; mitu kontot ei saa ühe IP alt teha                                                                                                                                                                                                                                                                                                                                                                                                               |
| Pluxer         | Ühtne stiil; ilus alguspunkt; /abi abijuhend; kuld on raha eest; teenuste tellimise info mängu sees                                                                                                                                                                                                                                                                                                                                                                                                                                   | Vähe maailmu                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Relaxx         | Teenuste tellimise info mängu sees koos kasutajanimega; korraga saab 3 hääletuskasti võtit                                                                                                                                                                                                                                                                                                                                                                                                                                            | Eesti-inglise segu; Hub on pime; sisselogides spämm vestlusaknas; mõttetud hääletuskasti auhinnad; serveri vahetamine ei ole enesest mõistetav; lõpukirste ei saa kasutada; Prisonis ei teki lõhutud esemed otse seljakotti; plokk-lääg Prisonis; Prisonis pole purunematud tööriistad; Prison on liiga üksluine; Prisonis on puukaevandus, kuid töölauda kuskil pole; /servers käsk ei tööta igas serveris; hääletamist tuletab meelde isegi siis, kui olen juba hääletanud täna |
| Prica          | Raske maastikuga Factions; eesliited on mängija nime küljes; ülesandeid täites saab lisaõigusi                                                                                                                                                                                                                                                                                                                                                                                                                                        | Inglise-eesti segu; hologramm on näos; /help käsku pole                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Kännukas       | Tasemed 1-100; ühtne stiil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Kirju vestlusaken; vähene info kujude kohta; hologrammi glitch; tasemete infot pole                                                                                                                                                                                                                                                                                                                                                                                               |
| Impeerium      | Ühtne stiil; serverisisene statistika siltidel; tõlgitud SkyBlock; Survivalis palju seletavaid hologramme; hääletuse eest head auhinnad                                                                                                                                                                                                                                                                                                                                                                                               | /server pole õigusi; spawnis saab asju lukustada /lock; Hubi minekul peab uuesti sisse logima                                                                                                                                                                                                                                                                                                                                                                                     |
| Wabariik       | Lihtne sisselogimine; minimalistlik ühtne disain; hõlpsasti leitavad käsud; palju maailmu; huvitavad Missioonid; meeskonnaliikmete arv kohe näha                                                                                                                                                                                                                                                                                                                                                                                      | Teenuste vaatamiseks peab veebi minema; inglise-eesti segu                                                                                                                                                                                                                                                                                                                                                                                                                        |
| GTM            | Ühtne stiil (hall-kollane-roheline); tuletab sisselogimisel meelde hääletamist ja daily streak’i; tiivad Hubis; infosõnumid on muust vestlusest selgelt eraldatud; tutorial näitas mängijale põhilisi kohti ja asju; teleportimiseks “takso”; eesliited ka mängija enda kohal; loterii, kus auhinnafondi peavad mängijad ise raha sisse panema; kõik vajalik on serveris sees, mitte veebis; erinevate tasemetega loosikirstud, paremad asjad on kallimates kirstudes; mängijad saavad tasulisi asju omavahel osta-müüa; ägedad autod | Hääletamisele võiks viide olla otse meeldetuletussõnumis                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Arkham Network | superkiirus Hubis sõltuvusttekitav; igas serveris raamat infoga; grappling hook; renditav turuplats; /vote avas menüü statistika jm infoga; tänab vestlusaknas tasulise teenuse kasutajaid                                                                                                                                                                                                                                                                                                                                            | Vestlusaknas on mängijate nime osa liiga pikk                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Extremecraft   | Ilus menüü /help käsuga;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| THRONE.EE      | Ühtne hall-valge stiil, silmale rahustav; level-up’id koos lisaõigustega; helisignaalid sõnumite puhul                                                                                                                                                                                                                                                                                                                                                                                                                                | Pool eesti, pool ingliskeelne;                                                                                                                                                                                                                                                                                                                                                                                                                                                    |

